symbol,day,close,source
BNBUSDT,2023-04-01,314.9,binance
BNBUSDT,2023-04-02,313.7,binance
BNBUSDT,2023-04-03,308.8,binance
BNBUSDT,2023-04-04,310.8,binance
BNBUSDT,2023-04-05,313.9,binance
BNBUSDT,2023-04-06,312.3,binance
BNBUSDT,2023-04-07,310.3,binance
BNBUSDT,2023-04-08,310.5,binance
BNBUSDT,2023-04-09,312.8,binance
BNBUSDT,2023-04-10,318.5,binance
BNBUSDT,2023-04-11,322.3,binance
BNBUSDT,2023-04-12,319.9,binance
BNBUSDT,2023-04-13,324.7,binance
BNBUSDT,2023-04-14,328.9,binance
BNBUSDT,2023-04-15,333.0,binance
BNBUSDT,2023-04-16,347.7,binance
BNBUSDT,2023-04-17,340.0,binance
BNBUSDT,2023-04-18,343.1,binance
BNBUSDT,2023-04-19,322.4,binance
BNBUSDT,2023-04-20,318.1,binance
BNBUSDT,2023-04-21,321.2,binance
BNBUSDT,2023-04-22,332.2,binance
BNBUSDT,2023-04-23,330.7,binance
BNBUSDT,2023-04-24,331.2,binance
BNBUSDT,2023-04-25,338.4,binance
BNBUSDT,2023-04-26,330.6,binance
BNBUSDT,2023-04-27,330.9,binance
BNBUSDT,2023-04-28,324.1,binance
BNBUSDT,2023-04-29,321.9,binance
BNBUSDT,2023-04-30,337.5,binance
BNBUSDT,2023-05-01,328.5,binance
BNBUSDT,2023-05-02,321.5,binance
BNBUSDT,2023-05-03,325.9,binance
BNBUSDT,2023-05-04,323.8,binance
BNBUSDT,2023-05-05,326.5,binance
BNBUSDT,2023-05-06,321.9,binance
BNBUSDT,2023-05-07,321.0,binance
BNBUSDT,2023-05-08,313.8,binance
BNBUSDT,2023-05-09,312.1,binance
BNBUSDT,2023-05-10,314.3,binance
BNBUSDT,2023-05-11,307.5,binance
BNBUSDT,2023-05-12,308.5,binance
BNBUSDT,2023-05-13,310.7,binance
BNBUSDT,2023-05-14,312.1,binance
BNBUSDT,2023-05-15,313.4,binance
BNBUSDT,2023-05-16,311.4,binance
BNBUSDT,2023-05-17,314.3,binance
BNBUSDT,2023-05-18,309.3,binance
BNBUSDT,2023-05-19,308.9,binance
BNBUSDT,2023-05-20,310.6,binance
BNBUSDT,2023-05-21,306.4,binance
BNBUSDT,2023-05-22,309.0,binance
BNBUSDT,2023-05-23,313.5,binance
BNBUSDT,2023-05-24,306.0,binance
BNBUSDT,2023-05-25,304.5,binance
BNBUSDT,2023-05-26,306.8,binance
BNBUSDT,2023-05-27,307.4,binance
BNBUSDT,2023-05-28,314.1,binance
BNBUSDT,2023-05-29,311.6,binance
BNBUSDT,2023-05-30,311.5,binance
BNBUSDT,2023-05-31,306.8,binance
BNBUSDT,2023-06-01,304.9,binance
BNBUSDT,2023-06-02,307.2,binance
BNBUSDT,2023-06-03,306.6,binance
BNBUSDT,2023-06-04,305.0,binance
BNBUSDT,2023-06-05,276.9,binance
BNBUSDT,2023-06-06,281.2,binance
BNBUSDT,2023-06-07,259.3,binance
BNBUSDT,2023-06-08,262.0,binance
BNBUSDT,2023-06-09,260.5,binance
BNBUSDT,2023-06-10,238.7,binance
BNBUSDT,2023-06-11,235.4,binance
BNBUSDT,2023-06-12,231.3,binance
BNBUSDT,2023-06-13,244.2,binance
BNBUSDT,2023-06-14,237.9,binance
BNBUSDT,2023-06-15,236.4,binance
BNBUSDT,2023-06-16,239.3,binance
BNBUSDT,2023-06-17,244.5,binance
BNBUSDT,2023-06-18,244.1,binance
BNBUSDT,2023-06-19,243.1,binance
BNBUSDT,2023-06-20,247.7,binance
BNBUSDT,2023-06-21,248.8,binance
BNBUSDT,2023-06-22,240.8,binance
BNBUSDT,2023-06-23,244.3,binance
BNBUSDT,2023-06-24,236.4,binance
BNBUSDT,2023-06-25,238.8,binance
BNBUSDT,2023-06-26,236.1,binance
BNBUSDT,2023-06-27,237.5,binance
BNBUSDT,2023-06-28,230.6,binance
BNBUSDT,2023-06-29,233.1,binance
BNBUSDT,2023-06-30,240.3,binance
BNBUSDT,2023-07-01,247.9,binance
BNBUSDT,2023-07-02,246.5,binance
BNBUSDT,2023-07-03,246.5,binance
BNBUSDT,2023-07-04,242.5,binance
BNBUSDT,2023-07-05,238.9,binance
BNBUSDT,2023-07-06,232.2,binance
BNBUSDT,2023-07-07,235.6,binance
BNBUSDT,2023-07-08,236.3,binance
BNBUSDT,2023-07-09,234.1,binance
BNBUSDT,2023-07-10,246.2,binance
BNBUSDT,2023-07-11,248.6,binance
BNBUSDT,2023-07-12,243.9,binance
BNBUSDT,2023-07-13,256.1,binance
BNBUSDT,2023-07-14,248.1,binance
BNBUSDT,2023-07-15,251.1,binance
BNBUSDT,2023-07-16,242.3,binance
BNBUSDT,2023-07-17,244.1,binance
BNBUSDT,2023-07-18,240.2,binance
BNBUSDT,2023-07-19,240.8,binance
BNBUSDT,2023-07-20,242.8,binance
BNBUSDT,2023-07-21,243.7,binance
BNBUSDT,2023-07-22,241.1,binance
BNBUSDT,2023-07-23,242.5,binance
BNBUSDT,2023-07-24,238.9,binance
BNBUSDT,2023-07-25,237.7,binance
BNBUSDT,2023-07-26,239.0,binance
BNBUSDT,2023-07-27,240.6,binance
BNBUSDT,2023-07-28,241.9,binance
BNBUSDT,2023-07-29,242.4,binance
BNBUSDT,2023-07-30,242.5,binance
BNBUSDT,2023-07-31,241.0,binance
BNBUSDT,2023-08-01,247.7,binance
BNBUSDT,2023-08-02,240.7,binance
BNBUSDT,2023-08-03,241.1,binance
BNBUSDT,2023-08-04,241.7,binance
BNBUSDT,2023-08-05,243.2,binance
BNBUSDT,2023-08-06,243.2,binance
BNBUSDT,2023-08-07,242.1,binance
BNBUSDT,2023-08-08,245.2,binance
BNBUSDT,2023-08-09,243.8,binance
BNBUSDT,2023-08-10,241.5,binance
BNBUSDT,2023-08-11,239.7,binance
BNBUSDT,2023-08-12,240.3,binance
BNBUSDT,2023-08-13,240.2,binance
BNBUSDT,2023-08-14,240.4,binance
BNBUSDT,2023-08-15,236.7,binance
BNBUSDT,2023-08-16,232.0,binance
BNBUSDT,2023-08-17,218.1,binance
BNBUSDT,2023-08-18,216.1,binance
BNBUSDT,2023-08-19,216.8,binance
BNBUSDT,2023-08-20,216.5,binance
BNBUSDT,2023-08-21,210.4,binance
BNBUSDT,2023-08-22,210.9,binance
BNBUSDT,2023-08-23,216.6,binance
BNBUSDT,2023-08-24,219.0,binance
BNBUSDT,2023-08-25,218.4,binance
BNBUSDT,2023-08-26,216.5,binance
BNBUSDT,2023-08-27,218.4,binance
BNBUSDT,2023-08-28,218.8,binance
BNBUSDT,2023-08-29,226.9,binance
BNBUSDT,2023-08-30,223.8,binance
BNBUSDT,2023-08-31,216.7,binance
BNBUSDT,2023-09-01,213.7,binance
BNBUSDT,2023-09-02,214.4,binance
BNBUSDT,2023-09-03,214.4,binance
BNBUSDT,2023-09-04,215.2,binance
BNBUSDT,2023-09-05,214.6,binance
BNBUSDT,2023-09-06,215.2,binance
BNBUSDT,2023-09-07,217.1,binance
BNBUSDT,2023-09-08,214.7,binance
BNBUSDT,2023-09-09,214.1,binance
BNBUSDT,2023-09-10,212.4,binance
BNBUSDT,2023-09-11,206.1,binance
BNBUSDT,2023-09-12,210.7,binance
BNBUSDT,2023-09-13,212.5,binance
BNBUSDT,2023-09-14,212.2,binance
BNBUSDT,2023-09-15,214.1,binance
BNBUSDT,2023-09-16,214.9,binance
BNBUSDT,2023-09-17,216.5,binance
BNBUSDT,2023-09-18,216.0,binance
BNBUSDT,2023-09-19,217.2,binance
BNBUSDT,2023-09-20,214.4,binance
BNBUSDT,2023-09-21,210.8,binance
BNBUSDT,2023-09-22,211.1,binance
BNBUSDT,2023-09-23,210.5,binance
BNBUSDT,2023-09-24,208.3,binance
BNBUSDT,2023-09-25,209.9,binance
BNBUSDT,2023-09-26,212.6,binance
BNBUSDT,2023-09-27,212.0,binance
BNBUSDT,2023-09-28,215.0,binance
BNBUSDT,2023-09-29,215.2,binance
BNBUSDT,2023-09-30,214.6,binance
BNBUSDT,2023-10-01,218.2,binance
BNBUSDT,2023-10-02,214.6,binance
BNBUSDT,2023-10-03,213.5,binance
BNBUSDT,2023-10-04,213.4,binance
BNBUSDT,2023-10-05,210.6,binance
BNBUSDT,2023-10-06,213.4,binance
BNBUSDT,2023-10-07,212.3,binance
BNBUSDT,2023-10-08,211.4,binance
BNBUSDT,2023-10-09,205.8,binance
BNBUSDT,2023-10-10,208.6,binance
BNBUSDT,2023-10-11,206.6,binance
BNBUSDT,2023-10-12,205.1,binance
BNBUSDT,2023-10-13,206.1,binance
